,tavg,tmin,tmax,zip,date,park
Yankee Stadium2010-06-08T00:00:00,20.9,16.1,25.8,10462,2010-06-08T00:00:00,Yankee Stadium
Yankee Stadium2010-06-09T00:00:00,21.1,16.3,26.0,10462,2010-06-09T00:00:00,Yankee Stadium
Yankee Stadium2010-06-10T00:00:00,21.3,16.5,26.2,10462,2010-06-10T00:00:00,Yankee Stadium
Yankee Stadium2010-06-11T00:00:00,21.5,16.7,26.3,10462,2010-06-11T00:00:00,Yankee Stadium
Yankee Stadium2010-06-12T00:00:00,21.7,16.9,26.5,10462,2010-06-12T00:00:00,Yankee Stadium
Yankee Stadium2010-06-13T00:00:00,21.9,17.1,26.7,10462,2010-06-13T00:00:00,Yankee Stadium
Yankee Stadium2010-06-14T00:00:00,22.1,17.3,26.8,10462,2010-06-14T00:00:00,Yankee Stadium
Yankee Stadium2010-06-15T00:00:00,22.3,17.5,27.0,10462,2010-06-15T00:00:00,Yankee Stadium
Yankee Stadium2010-06-16T00:00:00,22.4,17.7,27.2,10462,2010-06-16T00:00:00,Yankee Stadium
Yankee Stadium2010-06-17T00:00:00,22.6,17.9,27.3,10462,2010-06-17T00:00:00,Yankee Stadium
Yankee Stadium2010-06-18T00:00:00,22.8,18.1,27.5,10462,2010-06-18T00:00:00,Yankee Stadium
Yankee Stadium2010-06-19T00:00:00,22.9,18.3,27.7,10462,2010-06-19T00:00:00,Yankee Stadium
Yankee Stadium2010-06-20T00:00:00,23.1,18.4,27.8,10462,2010-06-20T00:00:00,Yankee Stadium
Yankee Stadium2010-06-21T00:00:00,23.3,18.6,27.9,10462,2010-06-21T00:00:00,Yankee Stadium
Yankee Stadium2010-06-22T00:00:00,23.4,18.8,28.1,10462,2010-06-22T00:00:00,Yankee Stadium
Yankee Stadium2010-06-23T00:00:00,23.6,18.9,28.2,10462,2010-06-23T00:00:00,Yankee Stadium
Yankee Stadium2010-06-24T00:00:00,23.8,19.1,28.4,10462,2010-06-24T00:00:00,Yankee Stadium
Yankee Stadium2010-06-25T00:00:00,23.9,19.3,28.5,10462,2010-06-25T00:00:00,Yankee Stadium
Yankee Stadium2010-06-26T00:00:00,24.1,19.4,28.6,10462,2010-06-26T00:00:00,Yankee Stadium
Yankee Stadium2010-06-27T00:00:00,24.2,19.6,28.8,10462,2010-06-27T00:00:00,Yankee Stadium
Yankee Stadium2010-06-28T00:00:00,24.3,19.7,28.9,10462,2010-06-28T00:00:00,Yankee Stadium
Yankee Stadium2010-06-29T00:00:00,24.4,19.8,28.9,10462,2010-06-29T00:00:00,Yankee Stadium
Yankee Stadium2010-06-30T00:00:00,24.5,19.9,29.1,10462,2010-06-30T00:00:00,Yankee Stadium
Yankee Stadium2010-07-01T00:00:00,24.6,20.1,29.2,10462,2010-07-01T00:00:00,Yankee Stadium
Yankee Stadium2010-07-02T00:00:00,24.7,20.2,29.2,10462,2010-07-02T00:00:00,Yankee Stadium
Yankee Stadium2010-07-03T00:00:00,24.8,20.3,29.3,10462,2010-07-03T00:00:00,Yankee Stadium
Yankee Stadium2010-07-04T00:00:00,24.9,20.3,29.4,10462,2010-07-04T00:00:00,Yankee Stadium
Yankee Stadium2010-07-05T00:00:00,24.9,20.4,29.4,10462,2010-07-05T00:00:00,Yankee Stadium
Yankee Stadium2010-07-06T00:00:00,25.0,20.5,29.5,10462,2010-07-06T00:00:00,Yankee Stadium
Yankee Stadium2010-07-07T00:00:00,25.1,20.6,29.6,10462,2010-07-07T00:00:00,Yankee Stadium
Yankee Stadium2010-07-08T00:00:00,25.1,20.7,29.6,10462,2010-07-08T00:00:00,Yankee Stadium
Yankee Stadium2010-07-09T00:00:00,25.2,20.7,29.7,10462,2010-07-09T00:00:00,Yankee Stadium
Yankee Stadium2010-07-10T00:00:00,25.2,20.7,29.7,10462,2010-07-10T00:00:00,Yankee Stadium
Yankee Stadium2010-07-11T00:00:00,25.2,20.8,29.7,10462,2010-07-11T00:00:00,Yankee Stadium
Yankee Stadium2010-07-12T00:00:00,25.3,20.8,29.7,10462,2010-07-12T00:00:00,Yankee Stadium
Yankee Stadium2010-07-13T00:00:00,25.3,20.8,29.7,10462,2010-07-13T00:00:00,Yankee Stadium
Yankee Stadium2010-07-14T00:00:00,25.3,20.9,29.8,10462,2010-07-14T00:00:00,Yankee Stadium
Yankee Stadium2010-07-15T00:00:00,25.3,20.9,29.8,10462,2010-07-15T00:00:00,Yankee Stadium
Yankee Stadium2010-07-16T00:00:00,25.3,20.9,29.8,10462,2010-07-16T00:00:00,Yankee Stadium
Yankee Stadium2010-07-17T00:00:00,25.3,20.9,29.8,10462,2010-07-17T00:00:00,Yankee Stadium
Yankee Stadium2010-07-18T00:00:00,25.3,20.9,29.8,10462,2010-07-18T00:00:00,Yankee Stadium
Yankee Stadium2010-07-19T00:00:00,25.3,20.9,29.8,10462,2010-07-19T00:00:00,Yankee Stadium
Yankee Stadium2010-07-20T00:00:00,25.3,20.9,29.7,10462,2010-07-20T00:00:00,Yankee Stadium
Yankee Stadium2010-07-21T00:00:00,25.3,20.9,29.7,10462,2010-07-21T00:00:00,Yankee Stadium
Yankee Stadium2010-07-22T00:00:00,25.3,20.9,29.7,10462,2010-07-22T00:00:00,Yankee Stadium
Yankee Stadium2010-07-23T00:00:00,25.3,20.9,29.7,10462,2010-07-23T00:00:00,Yankee Stadium
Yankee Stadium2010-07-24T00:00:00,25.3,20.9,29.7,10462,2010-07-24T00:00:00,Yankee Stadium
Yankee Stadium2010-07-25T00:00:00,25.3,20.8,29.7,10462,2010-07-25T00:00:00,Yankee Stadium
Yankee Stadium2010-07-26T00:00:00,25.2,20.8,29.6,10462,2010-07-26T00:00:00,Yankee Stadium
Yankee Stadium2010-07-27T00:00:00,25.2,20.8,29.6,10462,2010-07-27T00:00:00,Yankee Stadium
Yankee Stadium2010-07-28T00:00:00,25.2,20.8,29.6,10462,2010-07-28T00:00:00,Yankee Stadium
Yankee Stadium2010-07-29T00:00:00,25.2,20.8,29.6,10462,2010-07-29T00:00:00,Yankee Stadium
Yankee Stadium2010-07-30T00:00:00,25.2,20.8,29.6,10462,2010-07-30T00:00:00,Yankee Stadium
Yankee Stadium2010-07-31T00:00:00,25.1,20.7,29.5,10462,2010-07-31T00:00:00,Yankee Stadium
Yankee Stadium2010-08-01T00:00:00,25.1,20.7,29.5,10462,2010-08-01T00:00:00,Yankee Stadium
Yankee Stadium2010-08-02T00:00:00,25.1,20.7,29.4,10462,2010-08-02T00:00:00,Yankee Stadium
Yankee Stadium2010-08-03T00:00:00,25.1,20.7,29.4,10462,2010-08-03T00:00:00,Yankee Stadium
Yankee Stadium2010-08-04T00:00:00,25.0,20.7,29.4,10462,2010-08-04T00:00:00,Yankee Stadium
Yankee Stadium2010-08-05T00:00:00,25.0,20.6,29.4,10462,2010-08-05T00:00:00,Yankee Stadium
Yankee Stadium2010-08-06T00:00:00,25.0,20.6,29.3,10462,2010-08-06T00:00:00,Yankee Stadium
Yankee Stadium2010-08-07T00:00:00,24.9,20.6,29.3,10462,2010-08-07T00:00:00,Yankee Stadium
Yankee Stadium2010-08-08T00:00:00,24.9,20.6,29.3,10462,2010-08-08T00:00:00,Yankee Stadium
Yankee Stadium2010-08-09T00:00:00,24.9,20.5,29.3,10462,2010-08-09T00:00:00,Yankee Stadium
Yankee Stadium2010-08-10T00:00:00,24.8,20.5,29.2,10462,2010-08-10T00:00:00,Yankee Stadium
